replication,seed,mode,max_ticks,fast_io,backend_steps,simulation_tick,throughput,avg_order_completion_time,pod_visits,pile_on_rate,picked_quantity,total_energy,stop_and_go,total_turning,setup_seconds,run_seconds,total_seconds,model_path
22,20260548,ppo,3000.0,False,20000,3000.0,443,144.95259593679458,378,5.6798941798941796,2147,4738889.210193656,7743,5695,76.08334434125572,1374.4997640238144,1450.58310836507,
23,20260549,rika,3000.0,False,20000,3000.0,393,176.74809160305344,468,8.615384615384615,4032,5831427.186362957,8738,6397,83.90307543613017,1388.76143885497,1472.6645142911002,
23,20260549,random,3000.0,False,20000,3000.0,420,159.81666666666666,376,6.087765957446808,2289,4649815.61759462,7597,5583,64.10518821375445,1229.173156964127,1293.2783451778814,
23,20260549,ppo,3000.0,False,20000,3000.0,412,154.5606796116505,364,5.923076923076923,2156,4729977.150207863,7630,5680,69.12916174065322,1360.1020359033719,1429.231197644025,
24,20260550,rika,3000.0,False,20000,3000.0,385,179.2,473,8.479915433403805,4011,6007544.711051263,8715,6390,76.98755954299122,1384.0216361982748,1461.009195741266,
24,20260550,random,3000.0,False,20000,3000.0,410,152.2219512195122,355,6.143661971830986,2181,4496327.756708234,7541,5566,72.18926483206451,1357.838617716916,1430.0278825489804,
24,20260550,ppo,3000.0,False,20000,3000.0,424,157.05896226415095,363,5.975206611570248,2169,4641813.753890281,7620,5690,92.01615749299526,1328.403496989049,1420.4196544820443,
25,20260551,rika,3000.0,False,20000,3000.0,383,181.07832898172325,478,8.44142259414226,4035,6131754.4779125275,8782,6479,57.15346931759268,1409.7357306289487,1466.8891999465413,
25,20260551,random,3000.0,False,20000,3000.0,434,159.7188940092166,368,6.048913043478261,2226,4658847.379137236,7460,5390,80.2528560962528,1240.1182753518224,1320.3711314480752,
25,20260551,ppo,3000.0,False,20000,3000.0,429,151.5920745920746,376,6.053191489361702,2276,4801099.479794024,7727,5682,78.73360378108919,1406.5663453680463,1485.2999491491355,
26,20260552,rika,3000.0,False,20000,3000.0,394,175.65989847715736,479,8.434237995824635,4040,6002272.027850975,8733,6379,69.1419715769589,1396.7800871958025,1465.9220587727614,
26,20260552,random,3000.0,False,20000,3000.0,424,159.02830188679246,376,6.372340425531915,2396,4597174.059109174,7597,5670,80.69661756418645,1230.3465319466777,1311.0431495108642,
26,20260552,ppo,3000.0,False,20000,3000.0,418,147.9688995215311,380,6.25,2375,4752135.192850636,7546,5585,79.33071183878928,1380.6354979942553,1459.9662098330446,
27,20260553,rika,3000.0,False,20000,3000.0,406,164.1551724137931,467,8.451820128479657,3947,5963543.914091635,8787,6601,77.97706624213606,1321.645360849332,1399.6224270914681,
27,20260553,random,3000.0,False,20000,3000.0,445,149.58651685393258,377,6.026525198938992,2272,4798809.401475983,7827,5677,90.50069214310497,1216.8813270917162,1307.3820192348212,
27,20260553,ppo,3000.0,False,20000,3000.0,442,154.14253393665157,381,6.05249343832021,2306,4728006.582358902,7753,5601,94.01543582975864,1367.9407206308097,1461.9561564605683,
28,20260554,rika,3000.0,False,20000,3000.0,394,173.60659898477158,462,8.491341991341992,3923,6028861.757876433,8722,6443,71.99000536603853,1359.5984835750423,1431.5884889410809,
28,20260554,random,3000.0,False,20000,3000.0,440,147.67045454545453,377,5.872679045092839,2214,4753121.745656548,7609,5677,68.61098170885816,1184.1370927239768,1252.748074432835,
28,20260554,ppo,3000.0,False,20000,3000.0,443,155.90744920993228,389,5.784061696658098,2250,4834299.619858476,7869,5733,76.2785510099493,1403.0999040529132,1479.3784550628625,
29,20260555,rika,3000.0,False,20000,3000.0,390,172.05897435897435,484,8.206611570247935,3972,5974635.608609479,8849,6524,72.4299099589698,1411.144304327201,1483.574214286171,
29,20260555,random,3000.0,False,20000,3000.0,428,156.44626168224298,374,5.75668449197861,2153,4821771.468446663,7772,5743,72.128711162135,1180.4828827627935,1252.6115939249285,
29,20260555,ppo,3000.0,False,20000,3000.0,420,161.24285714285713,358,5.863128491620111,2099,4575882.175407955,7596,5587,68.52775628492236,1395.146190480329,1463.6739467652515,
30,20260556,rika,3000.0,False,20000,3000.0,433,160.36720554272517,495,8.153535353535354,4036,6008122.626303129,8707,6305,66.12694581225514,1748.2922361162491,1814.4191819285043,
30,20260556,random,3000.0,False,20000,3000.0,467,146.1220556745182,374,5.949197860962567,2225,4714912.942101747,7635,5631,107.00783197721466,1244.435498979874,1351.4433309570886,
30,20260556,ppo,3000.0,False,20000,3000.0,458,144.46943231441048,366,5.7650273224043715,2110,4466597.433020259,7417,5447,67.29053046507761,1376.0495370547287,1443.3400675198063,
